指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,神田駿河台二丁目,-,東京都千代田区神田駿河台2丁目1,日本福音自由教会協議会,教会,35.699346,139.761808
千代田区,西神田一丁目,-,東京都千代田区西神田1丁目1-12,カトリック東京大司教区 神田教会,教会,35.699406,139.757428
千代田区,神田三崎町一丁目,-,東京都千代田区神田三崎町1丁目3-9,日本基督教団 三崎町教会,教会,35.700651,139.756064
千代田区,九段北一丁目,-,東京都千代田区九段北1丁目15-1,九段教会,教会,35.695873,139.748581
中央区,日本橋浜町二丁目,-,東京都中央区日本橋浜町2-21-4,日本基督教団日本橋教会,教会,35.686124,139.787515
中央区,銀座二丁目,-,東京都中央区銀座2-8-7,金光教 銀座教会,教会,35.672855,139.767964
中央区,勝どき二丁目,-,東京都中央区勝どき2-6-5,ナザレのイエス(耶蘇)基督教団,教会,35.658497,139.779476
中央区,入船一丁目,-,東京都中央区入船1丁目6-8,救世軍京橋小隊,教会,35.673027,139.777569
中央区,日本橋室町四丁目,日八京,東京都中央区日本橋室町4-1-17,金光教 日本橋教会,教会,35.688815,139.771937
中央区,東日本橋三丁目,-,東京都中央区東日本橋3-1-3,神道禊教,教会,35.690303,139.782722
中央区,月島四丁目,-,東京都中央区月島4丁目5-8,日本聖公会東京教区月島聖公会,教会,35.660477,139.783321
中央区,明石町,-,東京都中央区明石町5-26,カトリック築地教会,教会,35.668167,139.777169
中央区,銀座四丁目,-,東京都中央区銀座4丁目2-1,銀座教会,教会,35.672922,139.764369
中央区,銀座五丁目,-,東京都中央区銀座5丁目14-6,東京福音センター,教会,35.668615,139.767185
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-14-3,霊南坂教会,教会,35.667079,139.742151
港区,虎ノ門一丁目,虎ノ門,東京都港区虎ノ門1-17-3,日本基督教団 芝教会,教会,35.668192,139.749927
港区,赤坂六丁目,赤坂,東京都港区赤坂6-9-6,赤坂教会,教会,35.669194,139.736962
港区,西麻布四丁目,-,東京都港区西麻布4丁目11-14,麻布霞町教会,教会,35.658276,139.722714
港区,高輪四丁目,-,東京都港区高輪4-7-1,カトリック東京大司教区 高輪教会,教会,35.629277,139.732627
港区,三田四丁目,-,東京都港区三田4丁目8-19,キリスト友会東京月会,教会,35.642640,139.738279
港区,元麻布二丁目,-,東京都港区元麻布2丁目14-16,日本基督教団 安藤記念教会,教会,35.652396,139.730496
港区,東麻布二丁目,-,東京都港区東麻布2丁目13-6,カトリック・グアダルペ宣教会日本管区本部,教会,35.657241,139.739938
港区,六本木四丁目,六本木,東京都港区六本木4-2-37,カトリック東京大司教区 フランシスカンチャペルセンター,教会,35.664896,139.733635
港区,高輪三丁目,-,東京都港区高輪3丁目15-15,日本キリスト教団高輪教会,教会,35.634906,139.733130
