,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
中央区,勝どき２丁目,-,中央区勝どき２－１６－３,35.657795,139.778472,勝どきちとせ保育園,認可,80,令和5年10月1日時点,,,
中央区,勝どき３丁目,-,中央区勝どき３－３－７　ＫＮリバーシティ２階,35.659255,139.774927,まなびの森保育園勝どき,認可,70,令和5年10月1日時点,,,
中央区,勝どき３丁目,-,中央区勝どき３－４－４,35.659064,139.775746,ほっぺるランド勝どき,認可,130,令和5年10月1日時点,,,
中央区,勝どき３丁目,-,中央区勝どき３－７－２,35.657881,139.775162,ほっぺるランド清澄通り勝どき,認可,60,令和5年10月1日時点,,,
中央区,勝どき４丁目,-,中央区勝どき４－８－１４,35.656884,139.775594,アスク勝どき保育園,認可,74,令和5年10月1日時点,,,
中央区,勝どき４丁目,-,中央区勝どき4-8-4,35.656629,139.775607,さくらさくみらい　勝どき,認可,50,令和5年10月1日時点,,,
中央区,勝どき５丁目,-,中央区勝どき５－１－１７勝どきザ・リバーフロント２Ｆ,35.658032,139.772516,ベネッセ勝どき保育園,認可,45,令和5年10月1日時点,,,
中央区,勝どき５丁目,-,中央区勝どき５－２－１５　ＥＤＧＥ勝どき１・２階,35.657236,139.773395,ほっぺるランド新島橋かちどき,認可,114,令和5年10月1日時点,,,
中央区,勝どき６丁目,-,中央区勝どき６－１－９,35.655955,139.774563,勝どきえほん保育園,認可,90,令和5年10月1日時点,,,
中央区,勝どき６丁目,-,中央区勝どき６－３－１　ザ・トーキョータワーズシータワー３階,35.655764,139.77355,ニチイキッズさわやか勝どき６丁目保育園,認可,105,令和5年10月1日時点,,,
中央区,勝どき１丁目,-,中央区勝どき一丁目３番１号ブリリアイストタワー勝どき２階,35.660833,139.776872,小学館アカデミー勝どきこども園,認可,114,令和5年10月1日時点,,,
中央区,銀座１丁目,-,中央区銀座１－１２－６,35.674373,139.76996,まなびの森保育園銀座,認可,93,令和5年10月1日時点,,,
港区,虎ノ門３丁目,虎ノ門,港区虎ノ門三丁目１９番１３号　虎ノ門スピリットビル３階,35.66308,139.746801,グローバルキッズ虎ノ門保育園,認可,56,令和5年10月1日時点,,,
